text,answers,correct_index,category,difficulty
"How many cards are there in a standard deck of playing cards?","52|32|40|64",0,"General Knowledge","easy"
"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?","Richard Branson|Alan Sugar|Donald Trump|Bill Gates",0,"General Knowledge","easy"
"The Hyundai Motor Company was founded in which country?","South Korea|Russia|Japan|China",0,"General Knowledge","easy"
"Which chemical element, number 11 in the Periodic table, has the symbol Na?","Sodium|Carbon|Lead|Nitrogen",0,"General Knowledge","easy"
"In past times, what would a gentleman keep in his fob pocket?","Watch|Money|Keys|Notebook",0,"General Knowledge","easy"
"What is the name of the company in Lethal Company?","The Company|Planet Scrap Co.|Lethal Robotics|Gordian Shipping Co.",0,"General Knowledge","easy"
"According to the Book of Genesis in the Old Testament, how many days did it take God to create the world?","Six|Seven|One|Twelve",0,"General Knowledge","easy"
"The word ""dozen"" usually refers to a group of how many objects?","12|6|20|10",0,"General Knowledge","easy"
"When one is ""envious"", they are said to be what color?","Green|Red|Blue|Yellow",0,"General Knowledge","easy"
"What country has had prime ministers named Eden, Major, Peel, Law, Brown and Heath?","United Kingdom|Australia|New Zealand|Canada",0,"General Knowledge","easy"
